site,Depth,season,date,drp,tp
ltm,80,dry,8/3/2015,0.06048,
ltm,100,dry,8/3/2015,0.13702,
ltm,110,dry,8/3/2015,0.05392,
ltm,120,dry,8/3/2015,0.04846,
ltm,130,dry,8/3/2015,0.02714,
ltm,140,dry,8/3/2015,0.05338,
ltm,150,dry,8/3/2015,0.10586,
ltm,160,dry,8/3/2015,0.07470,
ltm,170,dry,8/3/2015,0.10422,
ltm,180,dry,8/3/2015,0.06650,
ltm,190,dry,8/3/2015,0.16982,
ltm,200,dry,8/3/2015,0.16326,
ltm,0,dry,9/5/2015,0.00800,0.17983
ltm,20,dry,9/5/2015,0.02987,0.17983
ltm,40,dry,9/5/2015,0.00800,0.19601
ltm,60,dry,9/5/2015,0.01675,0.21219
ltm,80,dry,9/5/2015,0.05174,0.37398
ltm,100,dry,9/5/2015,0.18731,0.39015
ltm,110,dry,9/5/2015,0.04900,0.41038
ltm,120,dry,9/5/2015,0.07579,0.17781
ltm,130,dry,9/5/2015,0.02222,0.11310
ltm,140,dry,9/5/2015,0.04846,0.19803
ltm,150,dry,9/5/2015,0.09438,0.19803
ltm,160,dry,9/5/2015,0.12718,0.21624
ltm,170,dry,9/5/2015,0.13538,0.21624
ltm,180,dry,9/5/2015,0.10258,0.23444
ltm,190,dry,9/5/2015,0.14030,0.24657
ltm,200,dry,9/5/2015,0.07962,0.17983
ltm,0,dry,10/3/2015,0.03862,0.08276
ltm,20,dry,10/3/2015,0.04518,0.07063
ltm,40,dry,10/3/2015,0.06814,0.09490
ltm,60,dry,10/3/2015,0.04846,0.11916
ltm,80,dry,10/3/2015,0.15998,0.17983
ltm,100,dry,10/3/2015,0.14686,0.16770
ltm,110,dry,10/3/2015,0.11952,0.13130
ltm,120,dry,10/3/2015,0.11898,0.13737
ltm,130,dry,10/3/2015,0.16982,0.16163
ltm,140,dry,10/3/2015,0.19114,0.16163
ltm,150,dry,10/3/2015,0.16162,0.15557
ltm,160,dry,10/3/2015,0.15834,0.16163
ltm,170,dry,10/3/2015,0.18786,0.17983
ltm,180,dry,10/3/2015,0.11734,0.18590
ltm,190,dry,10/3/2015,0.17310,0.19197
ltm,200,dry,10/3/2015,0.17310,0.19803
ltm,0,dry,5/26/2016,0.00227,0.00701
ltm,20,dry,5/26/2016,0.00441,-0.01536
ltm,40,dry,5/26/2016,-0.00047,-0.01536
ltm,60,dry,5/26/2016,-0.00078,-0.01536
ltm,80,dry,5/26/2016,0.01600,0.01622
ltm,100,dry,5/26/2016,0.02698,0.02937
ltm,110,dry,5/26/2016,0.02820,0.03858
ltm,120,dry,5/26/2016,0.02850,0.05437
ltm,130,dry,5/26/2016,,0.05043
ltm,140,dry,5/26/2016,0.03552,0.04780
ltm,150,dry,5/26/2016,0.08676,0.17280
ltm,160,dry,5/26/2016,0.06876,0.13595
ltm,170,dry,5/26/2016,0.07669,0.19122
ltm,180,dry,5/26/2016,0.07181,0.17411
ltm,190,dry,5/26/2016,0.06937,0.17806
ltm,200,dry,5/26/2016,0.08767,0.20438
